Latitude,Longitude,Depth,band_1_561,band_2_676,band_3_805
15.410673,73.742649,XX,0.0452826,0.0253341,0.0229798
15.397707,73.751532,XX,0.0422145,0.0291677,0.0229798
15.39487,73.753506,XX,0.0437485,0.0291677,0.0262248
15.395482,73.76594,XX,0.0422145,0.0291677,0.0294698
15.397251,73.767048,XX,0.0437485,0.0272509,0.0262248
15.394177,73.775172,XX,0.0437485,0.0272509,0.0262248
15.399952,73.741037,XX,0.0437485,0.0291677,0.0229798
15.397641,73.739933,XX,0.0468166,0.0272509,0.0262248
15.39872,73.738808,XX,0.0468166,0.0291677,0.0197349
15.397009,73.748042,XX,0.0437485,0.0291677,0.0294698
15.411023,73.732724,XX,0.0468166,0.0291677,0.0229798
15.406108,73.750643,XX,0.0452826,0.0291677,0.0262248
15.413359,73.738161,XX,0.0452826,0.0291677,0.0229798
15.394836,73.747357,XX,0.0406805,0.0272509,0.0262248
15.394819,73.744422,XX,0.0437485,0.0272509,0.0229798
15.398265,73.754324,XX,0.0422145,0.0272509,0.0262248
15.405006,73.747575,XX,0.0452826,0.0272509,0.0262248
15.395666,73.750286,XX,0.0422145,0.0272509,0.0262248
15.398764,73.746634,XX,0.0437485,0.0310844,0.0229798
15.396492,73.752518,XX,0.0437485,0.0272509,0.0262248
15.406077,73.745193,XX,0.0452826,0.0272509,0.0229798
15.398709,73.736991,XX,0.0498846,0.0330012,0.0262248
15.415108,73.735774,XX,0.0452826,0.0291677,0.0229798
15.404496,73.753309,XX,0.0437485,0.0291677,0.0262248
15.396588,73.745529,XX,0.0422145,0.0253341,0.0229798
15.395197,73.739249,XX,0.0483506,0.0291677,0.0229798
15.414051,73.740672,XX,0.0468166,0.0291677,0.0294698
15.412344,73.750466,XX,0.0437485,0.0310844,0.0294698
15.39369,73.736602,XX,0.0468166,0.0291677,0.0197349
15.407797,73.737635,XX,0.0483506,0.0310844,0.0229798
15.411183,73.736916,XX,0.0452826,0.0291677,0.0262248
15.39694,73.735744,XX,0.0483506,0.0310844,0.0229798
15.40332,73.737103,XX,0.0514186,0.034918,0.0229798
15.413339,73.734667,XX,0.0468166,0.0272509,0.0262248
15.408931,73.746294,XX,0.0483506,0.0310844,0.0262248
15.411777,73.746137,XX,0.0437485,0.0291677,0.0262248
15.402624,73.733893,XX,0.0498846,0.0291677,0.0229798
15.39869,73.733637,XX,0.0498846,0.0330012,0.0229798
15.40731,73.747422,XX,0.0483506,0.0291677,0.0262248
15.408371,73.743222,XX,0.0452826,0.0291677,0.0229798
15.396515,73.732672,XX,0.0498846,0.0330012,0.0262248
15.404927,73.733599,XX,0.0483506,0.0310844,0.0229798
15.407881,73.75245,XX,0.0452826,0.0310844,0.0262248
15.407236,73.734424,XX,0.0483506,0.0330012,0.0262248
15.408957,73.750906,XX,0.0452826,0.0291677,0.0262248
15.393173,73.741078,XX,0.0422145,0.0272509,0.0262248
15.421042,73.730147,XX,0.0483506,0.0310844,0.0197349
15.410733,73.753271,XX,0.0452826,0.0291677,0.0262248
15.42162,73.736434,XX,0.0468166,0.0291677,0.0262248
15.430735,73.74183,XX,0.0468166,0.0291677,0.0262248
