Latitude,Longitude,Depth,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865
15.446998,73.812958,XX,0.051997,0.056341,0.069445,0.048444,0.039791,0.030421,0.030808,0.026103,0.025662
15.455227,73.813469,XX,0.06006,0.056829,0.071734,0.064651,0.062867,0.05127,0.053391,0.045395,0.046725
15.452495,73.826622,XX,0.049129,0.055365,0.065829,0.044751,0.040908,0.036571,0.036246,0.03276,0.032027
15.453775,73.812454,XX,0.051606,0.056341,0.066673,0.046206,0.041801,0.036901,0.037312,0.033647,0.032966
15.449806,73.814148,XX,0.051215,0.056219,0.066673,0.045646,0.038005,0.032618,0.032515,0.03043,0.026914
15.45115,73.828873,XX,0.048738,0.052311,0.065226,0.043183,0.03767,0.032289,0.033048,0.030319,0.028897
15.449956,73.825241,XX,0.049521,0.053289,0.067396,0.045422,0.037335,0.03174,0.031342,0.028434,0.027019
15.451851,73.824577,XX,0.050172,0.054998,0.066793,0.04643,0.039568,0.034485,0.034114,0.030985,0.02994
15.44943,73.828323,XX,0.048869,0.052556,0.065588,0.044639,0.03767,0.032399,0.030915,0.026658,0.026705
15.450753,73.822258,XX,0.050433,0.055365,0.065708,0.043183,0.038563,0.032069,0.032301,0.028655,0.028375
15.447658,73.818169,XX,0.051476,0.055853,0.066793,0.047885,0.039233,0.03163,0.029635,0.026436,0.025662
15.449367,73.816483,XX,0.051345,0.05451,0.067999,0.045086,0.03834,0.033058,0.031875,0.028877,0.027332
15.451051,73.827194,XX,0.048608,0.054266,0.064502,0.042511,0.038452,0.032728,0.033794,0.029543,0.02921
15.448394,73.820496,XX,0.050042,0.056707,0.06812,0.044974,0.037335,0.030751,0.029742,0.026214,0.026079
15.449039,73.822914,XX,0.050042,0.055243,0.066432,0.045646,0.037558,0.03174,0.030808,0.028323,0.026079
15.444288,73.81353,XX,0.051215,0.054754,0.067879,0.04587,0.037335,0.029762,0.028035,0.025105,0.023574
15.445853,73.818832,XX,0.050824,0.055609,0.067035,0.046206,0.038117,0.029213,0.028889,0.025105,0.023678
15.44422,73.817635,XX,0.051345,0.054754,0.069566,0.044862,0.039456,0.029652,0.028248,0.023995,0.023261
15.439961,73.815979,XX,0.051606,0.057439,0.067879,0.045646,0.037,0.027564,0.027395,0.023884,0.022217
15.44956,73.81881,XX,0.050954,0.055243,0.064743,0.045198,0.038786,0.03119,0.031448,0.025881,0.02754
15.445171,73.826668,XX,0.050042,0.05512,0.066673,0.044862,0.036665,0.029542,0.028782,0.025659,0.023783
15.444977,73.824059,XX,0.050303,0.055365,0.069084,0.046765,0.038898,0.029872,0.028248,0.025326,0.023887
15.443394,73.815308,XX,0.051345,0.05512,0.068722,0.046877,0.038228,0.028663,0.028035,0.024661,0.023678
15.440606,73.818115,XX,0.051215,0.057195,0.069084,0.045534,0.036888,0.027784,0.027075,0.02344,0.022739
15.447824,73.815285,XX,0.051215,0.054998,0.067758,0.04531,0.038786,0.030751,0.030488,0.027768,0.027332
15.443112,73.813538,XX,0.051215,0.055609,0.068361,0.044974,0.038452,0.029542,0.027288,0.023884,0.023678
15.44337,73.827797,XX,0.050042,0.053777,0.066191,0.047101,0.039568,0.028883,0.028355,0.024106,0.022634
15.451738,73.82048,XX,0.050824,0.055487,0.067276,0.046318,0.039903,0.035693,0.034007,0.030652,0.030253
15.450807,73.815262,XX,0.050824,0.056463,0.065829,0.044974,0.039233,0.034046,0.032835,0.030874,0.029314
15.448606,73.826553,XX,0.049651,0.055731,0.067276,0.045758,0.038452,0.030531,0.031235,0.026103,0.026079
15.446474,73.816498,XX,0.051085,0.055243,0.066311,0.048332,0.039121,0.030092,0.029955,0.026658,0.022843
15.45355,73.821121,XX,0.051476,0.05451,0.067396,0.049787,0.047268,0.04184,0.04232,0.036308,0.037658
15.449933,73.821045,XX,0.050172,0.054022,0.066191,0.044303,0.038117,0.033058,0.030808,0.028101,0.025975
15.405227,73.812538,XX,0.049781,0.052067,0.060882,0.03915,0.03309,0.03141,0.031022,0.027324,0.026497
15.401414,73.809769,XX,0.050042,0.053899,0.061727,0.04587,0.042359,0.039096,0.039123,0.035643,0.035573
15.402606,73.812927,XX,0.049651,0.054022,0.063778,0.043967,0.038117,0.034375,0.035073,0.034201,0.03307
15.403054,73.812088,XX,0.050433,0.054632,0.061606,0.040719,0.035324,0.032618,0.033048,0.028877,0.028793
15.403342,73.815254,XX,0.051345,0.055853,0.067035,0.051465,0.048383,0.040303,0.042106,0.035088,0.037554
15.403788,73.81395,XX,0.050303,0.05451,0.064019,0.043295,0.036888,0.032728,0.033048,0.028101,0.028062
15.422198,73.807877,XX,0.053689,0.058659,0.070891,0.047661,0.03968,0.029323,0.028035,0.026103,0.022634
15.429634,73.812027,XX,0.052518,0.058171,0.069686,0.04878,0.038228,0.028114,0.025795,0.022885,0.020859
15.432136,73.789742,XX,0.051866,0.054266,0.063537,0.041391,0.033313,0.026905,0.025261,0.021552,0.02253
15.443016,73.812416,XX,0.051215,0.054998,0.068722,0.046206,0.037558,0.028883,0.028675,0.024328,0.022948
15.448092,73.797852,XX,0.051345,0.054998,0.064985,0.043071,0.037,0.030202,0.029742,0.027879,0.026184
15.424028,73.811966,XX,0.052518,0.056585,0.069807,0.046094,0.038117,0.028443,0.027395,0.023773,0.022739
15.424448,73.78923,XX,0.050563,0.052922,0.059795,0.0359,0.031078,0.026905,0.026541,0.023107,0.022426
15.42508,73.805809,XX,0.053299,0.057561,0.070409,0.048332,0.039456,0.027784,0.026648,0.024772,0.02347
15.423387,73.793617,XX,0.050433,0.054632,0.061002,0.037469,0.031525,0.025366,0.025154,0.023218,0.020546
15.438642,73.805824,XX,0.052648,0.055365,0.069566,0.046654,0.038786,0.029213,0.027288,0.023329,0.022008
15.445289,73.797867,XX,0.051215,0.054876,0.063054,0.041503,0.034766,0.029432,0.027395,0.024661,0.024514
15.444705,73.79023,XX,0.050563,0.051823,0.061244,0.039262,0.032643,0.026135,0.026541,0.022441,0.021277
15.447094,73.797302,XX,0.050954,0.054632,0.064985,0.042399,0.036106,0.029652,0.028569,0.027546,0.02514
15.446832,73.798981,XX,0.050954,0.052922,0.06414,0.043855,0.034766,0.030421,0.030275,0.026547,0.024409
15.437514,73.798096,XX,0.052518,0.056829,0.069325,0.046318,0.03834,0.027454,0.026648,0.024217,0.022112
15.432892,73.795799,XX,0.052387,0.055731,0.06812,0.042847,0.037111,0.026135,0.026328,0.022663,0.022112
15.440219,73.796684,XX,0.051476,0.054754,0.067035,0.043519,0.036441,0.027454,0.026328,0.024439,0.022426
15.441407,73.799011,XX,0.052518,0.057073,0.06824,0.045422,0.038563,0.028993,0.028569,0.026214,0.023992
15.439242,73.799858,XX,0.052257,0.055609,0.06824,0.045982,0.039121,0.027564,0.027075,0.023662,0.021068
15.443851,73.799644,XX,0.051345,0.053777,0.065226,0.043183,0.035436,0.029323,0.027822,0.025659,0.024618
15.432337,73.793472,XX,0.051736,0.05512,0.065708,0.042623,0.035324,0.026355,0.025688,0.023329,0.021382
15.431159,73.793007,XX,0.051215,0.054876,0.063778,0.038926,0.034207,0.026355,0.025154,0.021997,0.020442
15.446053,73.756111,XX,0.047564,0.046441,0.045767,0.029396,0.027166,0.024377,0.022913,0.019443,0.019502
15.44909,73.749573,XX,0.046389,0.044972,0.044919,0.029283,0.026718,0.024926,0.024194,0.020553,0.020233
