Latitude,Longitude,Depth,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865
16.034096,73.470665,XX,0.057072,0.053411,0.050972,0.036573,0.032755,0.033387,0.032195,0.029099,0.028062
16.007706,73.471329,XX,0.056551,0.053289,0.049036,0.033209,0.031637,0.029982,0.029315,0.025326,0.02514
16.02787,73.446976,XX,0.054731,0.049744,0.048067,0.033546,0.029737,0.028114,0.027182,0.02455,0.024827
16.013668,73.483437,XX,0.057202,0.055975,0.054237,0.036573,0.034207,0.034595,0.034434,0.029765,0.030984
15.951843,73.458679,XX,0.055901,0.053533,0.056654,0.035676,0.034878,0.031849,0.030062,0.027435,0.02587
16.027302,73.468475,XX,0.056551,0.053289,0.051456,0.034779,0.031972,0.032179,0.030488,0.026547,0.027123
16.008654,73.464783,XX,0.055901,0.054632,0.050246,0.033994,0.030184,0.029432,0.027288,0.023995,0.024722
16.032709,73.42881,XX,0.059151,0.056951,0.052786,0.034779,0.030408,0.028883,0.027395,0.023107,0.022321
16.007286,73.488525,XX,0.062396,0.061463,0.065588,0.048108,0.043698,0.041291,0.041148,0.037749,0.035886
16.009609,73.446838,XX,0.055771,0.051945,0.049762,0.034555,0.030855,0.028993,0.026328,0.024328,0.023887
15.885112,73.455734,XX,0.061488,0.061097,0.055325,0.036909,0.032084,0.029103,0.028462,0.025437,0.025453
15.992352,73.460426,XX,0.058371,0.057561,0.053512,0.034106,0.03119,0.029213,0.028569,0.022996,0.024827
15.981896,73.464615,XX,0.057461,0.056829,0.053028,0.034555,0.031414,0.028663,0.027395,0.023884,0.023887
16.004808,73.470695,XX,0.055901,0.053899,0.050125,0.034667,0.030967,0.028224,0.028355,0.024994,0.02514
16.015657,73.470993,XX,0.056291,0.053899,0.049883,0.034555,0.031972,0.030641,0.029529,0.026325,0.026288
16.007704,73.470955,XX,0.056031,0.053167,0.048673,0.033434,0.032308,0.030531,0.029102,0.024217,0.025453
16.008024,73.452545,XX,0.055771,0.054144,0.049762,0.034555,0.030408,0.028553,0.027075,0.024328,0.024722
16.021009,73.486366,XX,0.06745,0.063656,0.071012,0.054819,0.050613,0.046008,0.048176,0.044287,0.043704
16.01984,73.461617,XX,0.055381,0.053167,0.049036,0.034555,0.030408,0.029432,0.027822,0.024106,0.02347
15.908032,73.501503,XX,0.060839,0.061219,0.057863,0.0359,0.03119,0.028773,0.027075,0.024217,0.023678
16.02383,73.463547,XX,0.055901,0.054022,0.050246,0.034779,0.031525,0.030751,0.029102,0.02577,0.024305
15.975719,73.460365,XX,0.057591,0.056463,0.053995,0.035676,0.031637,0.028553,0.027608,0.025216,0.023887
15.932006,73.478348,XX,0.056291,0.0528,0.054358,0.034331,0.031302,0.029872,0.028355,0.023551,0.025557
15.96602,73.482018,XX,0.058891,0.057683,0.056413,0.034219,0.032531,0.029652,0.028355,0.024328,0.024305
16.016489,73.423325,XX,0.062266,0.059757,0.056413,0.036349,0.031749,0.029323,0.027822,0.02344,0.02347
16.025173,73.46167,XX,0.055901,0.056219,0.051335,0.034219,0.031525,0.030202,0.029849,0.025992,0.025557
15.999779,73.462517,XX,0.056291,0.052189,0.050125,0.034443,0.030296,0.029213,0.028142,0.024106,0.024096
16.00968,73.469261,XX,0.056421,0.054144,0.050851,0.035116,0.031414,0.029872,0.029955,0.024994,0.025766
16.001163,73.453812,XX,0.056031,0.054998,0.050004,0.034106,0.030743,0.028114,0.026968,0.024328,0.022634
15.948153,73.486542,XX,0.06019,0.060854,0.058708,0.037582,0.032419,0.029762,0.027822,0.024661,0.023365
16.015806,73.466316,XX,0.055901,0.052922,0.049762,0.03377,0.03119,0.029762,0.027502,0.026103,0.024827
16.009624,73.486824,XX,0.058371,0.058049,0.058346,0.037918,0.035101,0.03712,0.036353,0.032981,0.03307
16.005554,73.473686,XX,0.055381,0.054022,0.051456,0.034219,0.032084,0.030751,0.029742,0.025326,0.025557
16.017365,73.44416,XX,0.055511,0.0528,0.050851,0.03377,0.032196,0.028334,0.026862,0.023107,0.024618
16.002876,73.428291,XX,0.064211,0.063777,0.063416,0.037806,0.031972,0.029982,0.028462,0.02455,0.024514
16.010408,73.444962,XX,0.057072,0.05451,0.052544,0.034667,0.031078,0.030421,0.027928,0.025105,0.024096
15.921516,73.45237,XX,0.062526,0.060244,0.054962,0.035452,0.03119,0.028443,0.025688,0.02344,0.022739
15.986167,73.455048,XX,0.058501,0.057561,0.054962,0.0359,0.031414,0.030092,0.026648,0.024439,0.024096
15.97797,73.446518,XX,0.060839,0.057805,0.055567,0.036349,0.032419,0.028993,0.027075,0.023773,0.023678
