Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
15.402719,73.81279,XX,0.037423,0.044011,0.053612,0.033356,0.020131
15.402987,73.811951,XX,0.037487,0.042802,0.052363,0.031266,0.017283
15.403275,73.8153,XX,0.03659,0.043618,0.061192,0.045887,0.027314
15.403811,73.813904,XX,0.035917,0.041834,0.051589,0.030625,0.016026
15.422218,73.807922,XX,0.035148,0.039987,0.04641,0.025384,0.010713
15.429563,73.81208,XX,0.033513,0.038322,0.044772,0.024938,0.01079
15.432154,73.789696,XX,0.027959,0.030044,0.029888,0.016512,0.008917
15.443124,73.812561,XX,0.031395,0.034989,0.042328,0.022595,0.010893
15.448197,73.797989,XX,0.030432,0.03414,0.037499,0.021339,0.01097
15.424139,73.812111,XX,0.035596,0.039473,0.048077,0.026973,0.01174
15.424558,73.789185,XX,0.034699,0.039957,0.044265,0.024296,0.010585
15.425189,73.805672,XX,0.03332,0.037867,0.042239,0.022455,0.010996
15.423226,73.793663,XX,0.035084,0.039957,0.04632,0.024296,0.010765
15.438749,73.80587,XX,0.030111,0.034564,0.039497,0.021758,0.010431
15.445215,73.798012,XX,0.029629,0.032714,0.036425,0.020028,0.010046
15.44463,73.790184,XX,0.029436,0.031349,0.033142,0.018382,0.009456
15.447108,73.797157,XX,0.030015,0.034655,0.038363,0.021284,0.010277
15.446847,73.798836,XX,0.031042,0.034413,0.039347,0.022483,0.010636
15.437622,73.79805,XX,0.02934,0.031592,0.033351,0.0188,0.009764
15.433001,73.795845,XX,0.030978,0.034534,0.035201,0.020168,0.009969
15.440327,73.796638,XX,0.028216,0.031197,0.033053,0.018158,0.009918
15.441424,73.799149,XX,0.028698,0.031379,0.03359,0.018549,0.009892
15.439259,73.799721,XX,0.029276,0.031379,0.033799,0.018521,0.010072
15.443869,73.79969,XX,0.029051,0.0332,0.035977,0.020251,0.009892
15.432175,73.79361,XX,0.029115,0.03147,0.031232,0.017628,0.009584
15.431087,73.79306,XX,0.029372,0.031622,0.03159,0.017572,0.009841
15.446069,73.756065,XX,0.031908,0.035322,0.037469,0.018354,0.009533
