Latitude,Longitude,Depth,band_1_561,band_2_676,band_3_805
16.015637,73.47092,XX,0.0223461,0.0234982,0.0328515
16.007639,73.470981,XX,0.0223461,0.0215698,0.0328515
16.008049,73.452477,XX,0.0223461,0.0215698,0.029587
16.021033,73.486298,XX,0.0377787,0.0292831,0.0393805
16.019909,73.461636,XX,0.0208028,0.0196415,0.0328515
15.907942,73.501577,XX,0.0254326,0.0177132,0.036116
16.023854,73.463569,XX,0.0223461,0.0215698,0.0328515
15.975705,73.460293,XX,0.0208028,0.0196415,0.029587
15.932046,73.47828,XX,0.0208028,0.0177132,0.0328515
15.965963,73.481948,XX,0.0208028,0.0177132,0.0328515
16.016514,73.423397,XX,0.0177163,0.0177132,0.023058
16.025196,73.461596,XX,0.0208028,0.0196415,0.0328515
15.999852,73.462491,XX,0.0208028,0.0177132,0.029587
16.009661,73.469284,XX,0.0238894,0.0234982,0.029587
16.001145,73.453791,XX,0.0208028,0.0177132,0.0263225
15.948101,73.486566,XX,0.0223461,0.0196415,0.036116
16.015875,73.466293,XX,0.0208028,0.0196415,0.0328515
16.009649,73.486804,XX,0.0223461,0.0215698,0.0328515
16.005489,73.47366,XX,0.0238894,0.0196415,0.0328515
16.017343,73.444135,XX,0.0223461,0.0196415,0.029587
16.002858,73.42827,XX,0.0146298,0.0177132,0.0263225
16.010435,73.44503,XX,0.0208028,0.0196415,0.029587
15.921558,73.4523,XX,0.016173,0.0138566,0.0328515
15.986106,73.455028,XX,0.0208028,0.0196415,0.029587
15.978047,73.446542,XX,0.0177163,0.0157849,0.029587
16.025339,73.443933,XX,0.0208028,0.0215698,0.0263225
16.017613,73.462775,XX,0.0208028,0.0196415,0.0328515
15.932588,73.440307,XX,0.0146298,0.0157849,0.0263225
16.013639,73.419636,XX,0.016173,0.0177132,0.023058
16.03195,73.439536,XX,0.0192596,0.0157849,0.029587
16.009049,73.459617,XX,0.0223461,0.0196415,0.0328515
15.95293,73.498581,XX,0.0238894,0.0215698,0.036116
15.889203,73.477762,XX,0.0223461,0.0177132,0.0328515
15.959957,73.495445,XX,0.0223461,0.0196415,0.0328515
16.036027,73.422403,XX,0.0192596,0.0177132,0.0263225
16.023128,73.438063,XX,0.0208028,0.0177132,0.0263225
16.011807,73.42862,XX,0.0177163,0.0177132,0.0263225
16.031973,73.480468,XX,0.0238894,0.0215698,0.0393805
15.998142,73.432231,XX,0.0177163,0.0177132,0.0263225
16.031377,73.472903,XX,0.0208028,0.0177132,0.036116
15.961515,73.485625,XX,0.0223461,0.0196415,0.036116
16.013337,73.433934,XX,0.0192596,0.0177132,0.0263225
16.016465,73.472876,XX,0.0238894,0.0234982,0.0328515
15.923554,73.409835,XX,0.0115433,0.0138566,0.023058
16.022438,73.436387,XX,0.0192596,0.0177132,0.0263225
16.022648,73.46554,XX,0.0223461,0.0215698,0.0328515
15.979516,73.462366,XX,0.0208028,0.0177132,0.0328515
16.034835,73.463625,XX,0.0192596,0.0196415,0.029587
16.033625,73.446112,XX,0.0223461,0.0196415,0.0328515
16.005472,73.415075,XX,0.016173,0.0177132,0.0263225
16.027362,73.461159,XX,0.0208028,0.0196415,0.0328515
16.012968,73.439123,XX,0.0177163,0.0196415,0.029587
15.880801,73.440146,XX,0.016173,0.0177132,0.0263225
16.019986,73.453506,XX,0.0223461,0.0196415,0.0328515
15.934924,73.444632,XX,0.016173,0.0177132,0.029587
16.014623,73.461817,XX,0.0223461,0.0196415,0.0328515
16.017783,73.46768,XX,0.0208028,0.0177132,0.0328515
15.929123,73.467654,XX,0.0223461,0.0157849,0.0328515
15.999745,73.466556,XX,0.0192596,0.0196415,0.0328515
15.889181,73.47468,XX,0.0208028,0.0177132,0.0328515
15.886046,73.472183,XX,0.0192596,0.0177132,0.029587
16.004349,73.428258,XX,0.016173,0.0177132,0.0263225
15.946492,73.469904,XX,0.0192596,0.0177132,0.029587
16.004249,73.433164,XX,0.016173,0.0196415,0.0263225
16.016497,73.439657,XX,0.0208028,0.0196415,0.029587
16.001519,73.487286,XX,0.0238894,0.0196415,0.0328515
16.003478,73.457698,XX,0.0208028,0.0196415,0.0263225
15.898853,73.443229,XX,0.0146298,0.0138566,0.029587
15.976517,73.479065,XX,0.0238894,0.0215698,0.0328515
