Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
15.94634,73.49604,XX,0.04219,0.04434,0.04516,0.02656,0.01533
15.96975,73.47036,XX,0.04027,0.04211,0.04006,0.02438,0.01456
15.98611,73.48425,XX,0.0387,0.03962,0.03815,0.02413,0.01631
16.02055,73.44698,XX,0.04363,0.04477,0.04444,0.02814,0.01772
15.94166,73.48627,XX,0.03829,0.03959,0.03792,0.02301,0.01354
16.00615,73.48074,XX,0.03938,0.04065,0.03908,0.02597,0.01828
16.01981,73.45736,XX,0.0428,0.04507,0.04733,0.02887,0.01787
15.92527,73.46957,XX,0.04219,0.04501,0.04316,0.02494,0.01369
16.00404,73.4516,XX,0.04235,0.04404,0.04507,0.02764,0.01662
16.00348,73.44852,XX,0.04241,0.04447,0.04569,0.02764,0.01672
15.91245,73.45818,XX,0.0413,0.04211,0.03911,0.02354,0.01387
15.99161,73.4573,XX,0.04312,0.04477,0.04176,0.02566,0.01582
16.02125,73.43128,XX,0.04523,0.04658,0.04343,0.02753,0.01741
16.0084,73.45437,XX,0.04248,0.04431,0.04644,0.02837,0.01682
15.96763,73.44011,XX,0.04107,0.04329,0.04239,0.02488,0.01441
15.96386,73.4819,XX,0.03813,0.03905,0.03693,0.02374,0.01487
16.02701,73.47833,XX,0.03963,0.0415,0.04301,0.02798,0.02018
15.96034,73.48192,XX,0.03774,0.04065,0.03687,0.02321,0.01431
15.88889,73.46172,XX,0.04046,0.04253,0.03965,0.02402,0.01446
15.95968,73.42756,XX,0.04273,0.04347,0.04015,0.02421,0.0142
16.00205,73.47572,XX,0.04024,0.04214,0.04188,0.02736,0.01787
15.97129,73.49725,XX,0.04046,0.04383,0.04876,0.02594,0.01877
15.91476,73.43996,XX,0.04177,0.04217,0.0375,0.02335,0.0139
16.00685,73.42663,XX,0.04472,0.04516,0.04021,0.02642,0.01733
15.91922,73.45673,XX,0.04174,0.04395,0.04212,0.02502,0.01395
15.97265,73.45997,XX,0.03899,0.03968,0.03824,0.02346,0.01438
